FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
7_Mesic,1,0,54.20159808,-126.0374972,2,6,6
7_Mesic,2,0,54.20159968,-126.0373136,2,6,6
7_Mesic,3,0,54.20159728,-126.037128,2,6,6
7_Mesic,4,0,54.20148984,-126.0374987,2,6,6
7_Mesic,5,0,54.20148995,-126.0373142,2,6,6
7_Mesic,6,0,54.20148762,-126.037126,2,6,6
7_Mesic,7,0,54.20138261,-126.0375003,2,6,6
7_Mesic,8,0,54.20138327,-126.0373141,2,6,6
7_Mesic,9,0,54.20138333,-126.0371313,2,6,6
7_Mesic,10,0,54.20127404,-126.037495,2,6,6
7_Mesic,11,0,54.20127667,-126.0373106,2,6,6
7_Mesic,12,0,54.20127617,-126.0371303,2,6,6
7_Mesic,13,0,54.20116736,-126.0374949,2,6,6
7_Mesic,14,0,54.20116806,-126.0373069,2,6,6
7_Mesic,15,0,54.20116554,-126.0371265,2,6,6
