FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
2_Mesic,1,42.3,54.90869842,-126.3427167,2,6,6
2_Mesic,2,42.3,54.90808533,-126.3431489,2,6,6
2_Mesic,3,42.3,54.90817705,-126.3433408,2,6,6
2_Mesic,4,42.3,54.90814774,-126.3429377,2,6,6
2_Mesic,5,42.3,54.908228,-126.3431056,2,6,6
2_Mesic,6,42.3,54.90830825,-126.3432735,2,6,6
2_Mesic,7,42.3,54.90827894,-126.3428705,2,6,6
2_Mesic,8,42.3,54.90837066,-126.3430624,2,6,6
2_Mesic,9,42.3,54.90834134,-126.3426593,2,6,6
2_Mesic,10,42.3,54.9084216,-126.3428272,2,6,6
2_Mesic,11,42.3,54.90850186,-126.3429951,2,6,6
2_Mesic,12,42.3,54.90847254,-126.3425921,2,6,6
2_Mesic,13,42.3,54.90856427,-126.342784,2,6,6
2_Mesic,14,42.3,54.90853495,-126.3423809,2,6,6
2_Mesic,15,42.3,54.90861521,-126.3425488,2,6,6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
