FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
0_Mesic,1,0,54.38718172,-125.5090868,2,6,6
0_Mesic,2,0,54.38718221,-125.508903,2,6,6
0_Mesic,3,0,54.38717775,-125.5087148,2,6,6
0_Mesic,4,0,54.38707321,-125.5090868,2,6,6
0_Mesic,5,0,54.38707371,-125.508901,2,6,6
0_Mesic,6,0,54.38706826,-125.5087162,2,6,6
0_Mesic,7,0,54.38696471,-125.5090883,2,6,6
0_Mesic,8,0,54.38696421,-125.508904,2,6,6
0_Mesic,9,0,54.38696322,-125.5087177,2,6,6
0_Mesic,10,0,54.3868572,-125.5090873,2,6,6
0_Mesic,11,0,54.38685571,-125.5089015,2,6,6
0_Mesic,12,0,54.38685422,-125.5087197,2,6,6
0_Mesic,13,0,54.38675117,-125.5090863,2,6,6
0_Mesic,14,0,54.3867477,-125.508904,2,6,6
0_Mesic,15,0,54.38674572,-125.5087177,2,6,6
