FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
6_Mesic,1,0,54.19907399,-125.9457696,2,6,6
6_Mesic,2,0,54.19907442,-125.9455867,2,6,6
6_Mesic,3,0,54.19907092,-125.9453992,2,6,6
6_Mesic,4,0,54.19896624,-125.9457697,2,6,6
6_Mesic,5,0,54.19896566,-125.9455867,2,6,6
6_Mesic,6,0,54.19896417,-125.9453994,2,6,6
6_Mesic,7,0,54.19885394,-125.9457695,2,6,6
6_Mesic,8,0,54.19885694,-125.945585,2,6,6
6_Mesic,9,0,54.19885585,-125.945402,2,6,6
6_Mesic,10,0,54.19874831,-125.9457654,2,6,6
6_Mesic,11,0,54.19875025,-125.9455826,2,6,6
6_Mesic,12,0,54.19874908,-125.9454031,2,6,6
6_Mesic,13,0,54.19864721,-125.9457625,2,6,6
6_Mesic,14,0,54.19864507,-125.9455812,2,6,6
6_Mesic,15,0,54.198642,-125.9453963,2,6,6
